id;subject;course;semester
1;"""Chimica Organica""";"""biotecnologie""";2
2;"""Biologia Sviluppo""";"""biotecnologie""";2
3;"""Fisica""";"""biotecnologie""";2
4;"""Botanica""";"""biotecnologie""";2
5;"""Biochimica""";"""biotecnologie""";2
6;"""Genetica""";"""biotecnologie""";2
7;"""Statistica""";"""biotecnologie""";2
8;"""Ecologia""";"""biotecnologie""";2
9;"""Fisiologia Generale""";"""biotecnologie""";2
10;"""Fisiologia e Biotecnologie""";"""biotecnologie""";2
11;"""Virologia""";"""biotecnologie""";2
12;"""Diritto""";"""biotecnologie""";2
13;"""Chimica Organica 1""";"""chimica""";2
14;"""Fisica 1""";"""chimica""";2
15;"""Chimica Analitica""";"""chimica""";2
16;"""Chimica Inorganica""";"""chimica""";2
17;"""Chimica Analitica 2""";"""chimica""";2
18;"""Fisica 2""";"""chimica""";2
19;"""Chimica Fisica 1""";"""chimica""";2
20;"""Biotecnologie""";"""chimica""";2
21;"""Chimica Biologica""";"""chimica""";2
22;"""Chimica Fisica 3""";"""chimica""";2
23;"""Lab Chimica Analitica""";"""chimica""";2
24;"""Lab Chimica Fisica""";"""chimica""";2
25;"""Lab Chimica Organica""";"""chimica""";2
26;"""Chimica Organica 1""";"""chimica applicata""";2
27;"""Analisi 2""";"""chimica applicata""";2
28;"""Chimica Generale 2""";"""chimica applicata""";2
29;"""Chimica Organica 1""";"""chimica applicata""";2
30;"""Fisica 1""";"""chimica applicata""";2
31;"""Fisica 2""";"""chimica applicata";2
32;"""Chimica Analitica 2""";"""chimica applicata""";2
33;"""Biotecnologie""";"""chimica applicata""";2
34;"""Lab Chimica Analitica""";"""chimica applicata""";2
35;"""Lab Chimica Fisica""";"""chimica applicata""";2
36;"""Lab Chimica Organica""";"""chimica applicata""";2
37;"""Chimica Fisica Superfici""";"""chimica applicata""";2
38;"""Matematica 1""";"""chimica applicata""";1
39;"""Analisi Matematica 2""";"""chimica applicata";2
40;"""Chimica Strumentale per l'Ambientale""";"""chimica applicata""";1
41;"""Chimica Analitica 1""";"""chimica applicata""";1
